Info:2020-05-28 22:53:36,192 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-28 22:53:36,215 - common.log_print - INFO - 识别元素【用户名输入框】
Info:2020-05-28 22:53:36,279 - common.log_print - INFO - 对【用户名输入框】输入内容【admin】--success
Info:2020-05-28 22:53:36,417 - common.log_print - INFO - 识别元素【密码输入框】
Info:2020-05-28 22:53:36,676 - common.log_print - INFO - 对【密码输入框】输入内容【a12345678】--success
Info:2020-05-28 22:53:36,694 - common.log_print - INFO - 识别元素【登录按钮】
Info:2020-05-28 22:53:36,753 - common.log_print - INFO - 【登录按钮】进行点击--success
Info:2020-05-28 22:53:37,453 - common.log_print - INFO - 识别元素【用户菜单】
Info:2020-05-28 22:53:38,000 - common.log_print - INFO - =======测试类结束=======
Info:2020-05-28 22:58:10,128 - common.log_print - INFO - =======测试类开始=======
Info:2020-05-28 22:58:15,132 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-28 22:58:16,275 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-28 22:58:16,307 - common.log_print - INFO - 识别元素【用户名输入框】
Info:2020-05-28 22:58:16,479 - common.log_print - INFO - 对【用户名输入框】输入内容【test01】--success
Info:2020-05-28 22:58:16,496 - common.log_print - INFO - 识别元素【密码输入框】
Info:2020-05-28 22:58:16,579 - common.log_print - INFO - 对【密码输入框】输入内容【newdream】--success
Info:2020-05-28 22:58:16,596 - common.log_print - INFO - 识别元素【登录按钮】
Info:2020-05-28 22:58:16,658 - common.log_print - INFO - 【登录按钮】进行点击--success
Info:2020-05-28 22:58:20,218 - common.log_print - INFO - ---------测试方法执行完毕-----------
Info:2020-05-28 22:58:20,218 - common.log_print - INFO - 登录测试用例结束
Info:2020-05-28 22:58:24,095 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-28 22:58:25,218 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-28 22:58:25,251 - common.log_print - INFO - 识别元素【用户名输入框】
Info:2020-05-28 22:58:25,436 - common.log_print - INFO - 对【用户名输入框】输入内容【admin】--success
Info:2020-05-28 22:58:25,452 - common.log_print - INFO - 识别元素【密码输入框】
Info:2020-05-28 22:58:25,539 - common.log_print - INFO - 对【密码输入框】输入内容【a12345678】--success
Info:2020-05-28 22:58:25,559 - common.log_print - INFO - 识别元素【登录按钮】
Info:2020-05-28 22:58:25,615 - common.log_print - INFO - 【登录按钮】进行点击--success
Info:2020-05-28 22:58:26,245 - common.log_print - INFO - 识别元素【用户菜单】
Info:2020-05-28 22:58:29,649 - common.log_print - INFO - =======测试类结束=======
Info:2020-05-28 23:09:41,999 - common.log_print - INFO - =======测试类开始=======
Info:2020-05-28 23:09:45,756 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-28 23:09:46,952 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-28 23:09:47,026 - common.log_print - INFO - 识别元素【用户名输入框】
Info:2020-05-28 23:09:47,178 - common.log_print - INFO - 对【用户名输入框】输入内容【test01】--success
Info:2020-05-28 23:09:47,195 - common.log_print - INFO - 识别元素【密码输入框】
Info:2020-05-28 23:09:47,272 - common.log_print - INFO - 对【密码输入框】输入内容【newdream】--success
Info:2020-05-28 23:09:47,288 - common.log_print - INFO - 识别元素【登录按钮】
Info:2020-05-28 23:09:47,345 - common.log_print - INFO - 【登录按钮】进行点击--success
Info:2020-05-28 23:09:50,906 - common.log_print - INFO - ---------测试方法执行完毕-----------
Info:2020-05-28 23:09:50,907 - common.log_print - INFO - 登录测试用例结束
Info:2020-05-28 23:09:54,454 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
